"tripduration","start_time","end_time","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender","bike type"
244,"2019-11-01 00:02:58.4400","2019-11-01 00:07:03.2180",NULL,NULL,44.97,-93.29,NULL,NULL,44.97,-93.28,3250,"Customer",2000,2,"Dockless"
338,"2019-11-01 00:35:12.7570","2019-11-01 00:40:51.5100",NULL,NULL,44.99,-93.26,NULL,NULL,44.98,-93.26,2484,"Subscriber",1980,1,"Dockless"
161,"2019-11-01 00:42:45.0520","2019-11-01 00:45:26.9640",31,"Hennepin County Government Center",44.976602,-93.266701,9,"9th Street & 4th Ave",44.972665557958784,-93.26874911785126,784,"Customer",1990,1,"Classic"
209,"2019-11-01 00:52:01.2450","2019-11-01 00:55:30.5340",27,"Williamson Hall",44.977406,-93.234911,61,"McNamara Center",44.9743,-93.22854,1163,"Customer",1969,0,"Classic"
353,"2019-11-01 00:54:57.2660","2019-11-01 01:00:51.1840",NULL,NULL,44.98,-93.23,NULL,NULL,44.98,-93.24,3240,"Subscriber",1996,2,"Dockless"
658,"2019-11-01 00:58:11.7030","2019-11-01 01:09:09.7450",31,"Hennepin County Government Center",44.976602,-93.266701,94,"Portland Ave & Washington Ave",44.978209822323755,-93.26023042201996,761,"Customer",1997,2,"Classic"
295,"2019-11-01 01:05:52.8330","2019-11-01 01:10:47.8840",208,"23rd Ave SE & University Ave SE",44.974397,-93.223002,61,"McNamara Center",44.9743,-93.22854,703,"Customer",1969,0,"Classic"
1281,"2019-11-01 01:24:54.3540","2019-11-01 01:46:15.6290",50,"University & Bank Street SE",44.98717,-93.25576,10,"Midtown Exchange",44.948469065190665,-93.26105386018753,1450,"Customer",1969,0,"Classic"
634,"2019-11-01 01:40:52.2850","2019-11-01 01:51:26.2890",17,"Washington & Cedar",44.97344,-93.24748,113,"15th Ave SE & Como Ave SE",44.987517,-93.230469,1939,"Customer",1969,0,"Classic"
37487,"2019-11-01 01:41:09.6300","2019-11-01 12:05:57.1640",96,"Marshall Street NE & 8th Ave NE",44.995348,-93.266854,174,"Marshall Street NE & Lowry Ave",45.012922,-93.272002,1677,"Customer",1969,0,"Classic"
976,"2019-11-01 01:47:26.9690","2019-11-01 02:03:43.5690",635,"Hennepin Ave & S 3rd Street",44.9809571,-93.27046,202,"18th Ave Trail & 2nd Street NE",45.006321,-93.266553,927,"Customer",1995,1,"Classic"
612,"2019-11-01 01:48:48.7700","2019-11-01 01:59:01.5310",9,"9th Street & 4th Ave",44.972665557958784,-93.26874911785126,177,"Nicollet Mall & Grant Street",44.96995,-93.278133,720,"Customer",1993,2,"Classic"
439,"2019-11-01 01:51:41.8790","2019-11-01 01:59:01.1110",9,"9th Street & 4th Ave",44.972665557958784,-93.26874911785126,177,"Nicollet Mall & Grant Street",44.96995,-93.278133,572,"Customer",1969,0,"Classic"
