"tripduration","start_time","end_time","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender","bike type"
2517,"2019-04-22 14:48:51.2500","2019-04-22 15:30:48.4540",117,"Central Ave NE & 22nd Ave NE",45.00994,-93.247114,92,"6th Ave SE & University Ave",44.983281,-93.24812,407,"Customer",1985,1,"Classic"
432,"2019-04-22 14:49:34.2280","2019-04-22 14:56:46.5500",206,"Cooke Hall",44.976303,-93.230029,92,"6th Ave SE & University Ave",44.983281,-93.24812,591,"Subscriber",1998,1,"Classic"
163,"2019-04-22 14:55:45.7910","2019-04-22 14:58:29.0730",54,"Washington Ave S & 10th Ave S",44.97647753446488,-93.25515300035477,214,"Mill City Quarter",44.9805,-93.2618,1719,"Customer",1969,0,"Classic"
185,"2019-04-22 14:56:08.5720","2019-04-22 14:59:13.6580",26,"Coffman Union",44.973378,-93.234762,62,"Elliot Hall",44.97685,-93.23818,681,"Customer",1984,1,"Classic"
352,"2019-04-22 14:56:37.4370","2019-04-22 15:02:30.3880",188,"Sanford Hall",44.980831,-93.240282,120,"Washington Ave SE & Union Street SE",44.97394,-93.2321,1465,"Customer",1993,2,"Classic"
619,"2019-04-22 15:11:04.1990","2019-04-22 15:21:23.2990",214,"Mill City Quarter",44.9805,-93.2618,21,"Social Sciences",44.97063897849033,-93.24355244636536,34,"Subscriber",1990,1,"Classic"
338,"2019-04-22 15:12:48.7000","2019-04-22 15:18:26.9750",211,"15th Ave SE & SE 4th Street",44.97995059557327,-93.23478698730469,113,"15th Ave SE & Como Ave SE",44.987517,-93.230469,565,"Subscriber",1991,2,"Classic"
866,"2019-04-22 15:15:04.7340","2019-04-22 15:29:30.8780",44,"11th Street & Marquette",44.97271204700337,-93.27399149537086,20,"MCAD",44.957214,-93.274981,107,"Subscriber",1982,2,"Classic"
148,"2019-04-22 15:19:09.3270","2019-04-22 15:21:38.2950",209,"Willey Hall",44.972404,-93.242891,190,"Weisman Art Museum",44.973428353028844,-93.23731899261473,785,"Subscriber",1999,1,"Classic"
1442,"2019-04-22 15:20:22.5910","2019-04-22 15:44:24.6020",21,"Social Sciences",44.97063897849033,-93.24355244636536,15,"Lyndale Ave S & W 29th Street",44.94950363655845,-93.28822329640388,1687,"Subscriber",1991,1,"Classic"
589,"2019-04-22 15:32:13.5140","2019-04-22 15:42:03.3700",92,"6th Ave SE & University Ave",44.983281,-93.24812,13,"North 2nd Street & 4th Ave N",44.986087,-93.272459,407,"Customer",1985,1,"Classic"
308,"2019-04-22 15:33:52.6050","2019-04-22 15:39:00.6130",31,"Hennepin County Government Center",44.976602,-93.266701,148,"Chicago Ave & S Washington Ave",44.977424322594445,-93.25676500797272,1732,"Customer",1953,1,"Classic"
226,"2019-04-22 15:46:18.0840","2019-04-22 15:50:04.5900",62,"Elliot Hall",44.97685,-93.23818,120,"Washington Ave SE & Union Street SE",44.97394,-93.2321,1420,"Subscriber",1959,1,"Classic"
262,"2019-04-22 15:47:01.2950","2019-04-22 15:51:23.9380",27,"Williamson Hall",44.977406,-93.234911,21,"Social Sciences",44.97063897849033,-93.24355244636536,1215,"Subscriber",1997,1,"Classic"
649,"2019-04-22 15:50:57.2210","2019-04-22 16:01:46.5780",209,"Willey Hall",44.972404,-93.242891,95,"Gateway Park",44.9825943,-93.2675139,1141,"Subscriber",1986,2,"Classic"
210,"2019-04-22 15:52:32.8270","2019-04-22 15:56:03.0240",120,"Washington Ave SE & Union Street SE",44.97394,-93.2321,62,"Elliot Hall",44.97685,-93.23818,1420,"Subscriber",1959,1,"Classic"
1462,"2019-04-22 15:56:44.0160","2019-04-22 16:21:06.6820",120,"Washington Ave SE & Union Street SE",44.97394,-93.2321,159,"Lake Street & West River Parkway",44.94845008205557,-93.20620000362396,395,"Customer",1963,2,"Classic"
804,"2019-04-22 15:59:38.4000","2019-04-22 16:13:03.1680",184,"S 5th Street & Nicollet Mall",44.97866517955856,-93.270503282547,196,"Groveland Ave & Clifton Place",44.966145,-93.286294,1707,"Subscriber",1980,2,"Classic"
