"tripduration","start_time","end_time","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender","bike type"
777,"2018-11-03 08:56:32.4420","2018-11-03 09:09:29.9750",114,"Lake Como Pavilion",44.981914,-93.143383,114,"Lake Como Pavilion",44.981914,-93.143383,41,"Customer",1960,1,"Classic"
422,"2018-11-01 16:47:31.9900","2018-11-01 16:54:34.4220",8,"YWCA Downtown",44.972217,-93.276435,196,"Groveland Ave & Clifton Place",44.966145,-93.286294,43,"Customer",1983,2,"Classic"
735,"2018-11-02 13:33:00.0020","2018-11-02 13:45:15.3610",196,"Groveland Ave & Clifton Place",44.966145,-93.286294,30,"Washington & Marquette",44.98101454012148,-93.2668849825859,43,"Customer",1969,0,"Classic"
883,"2018-11-02 16:04:51.7200","2018-11-02 16:19:35.6390",108,"Logan Park",44.99882,-93.25276,6,"11th Street & Hennepin",44.97528833504171,-93.27881745994091,44,"Customer",1969,0,"Classic"
474,"2018-11-02 20:41:25.3750","2018-11-02 20:49:19.6700",6,"11th Street & Hennepin",44.97528833504171,-93.27881745994091,30,"Washington & Marquette",44.98101454012148,-93.2668849825859,44,"Customer",1969,0,"Classic"
3573,"2018-11-02 08:26:05.6980","2018-11-02 09:25:39.6380",132,"Landmark Plaza",44.945267,-93.096114,132,"Landmark Plaza",44.945267,-93.096114,46,"Customer",1969,0,"Classic"
977,"2018-11-02 11:46:43.4530","2018-11-02 12:03:01.0590",132,"Landmark Plaza",44.945267,-93.096114,137,"Kellogg Blvd & Wabasha Street",44.943846,-93.09227,46,"Customer",1969,0,"Classic"
1716,"2018-11-02 12:05:14.8330","2018-11-02 12:33:50.9030",137,"Kellogg Blvd & Wabasha Street",44.943846,-93.09227,132,"Landmark Plaza",44.945267,-93.096114,46,"Customer",1969,0,"Classic"
311,"2018-11-03 09:00:02.5640","2018-11-03 09:05:13.8050",132,"Landmark Plaza",44.945267,-93.096114,140,"7th Street W & Grand Ave",44.94144,-93.10624,46,"Customer",1969,0,"Classic"
236,"2018-11-01 09:14:09.7640","2018-11-01 09:18:06.1020",38,"4th Street & 17th Ave SE",44.97913,-93.23189,61,"McNamara Center",44.9743,-93.22854,47,"Customer",1982,2,"Classic"
359,"2018-11-01 17:20:10.2260","2018-11-01 17:26:10.1940",61,"McNamara Center",44.9743,-93.22854,209,"Willey Hall",44.972404,-93.242891,47,"Customer",1995,1,"Classic"
594,"2018-11-01 18:08:52.3210","2018-11-01 18:18:47.0900",209,"Willey Hall",44.972404,-93.242891,79,"27th Ave SE & University Ave",44.972599144972556,-93.21897804737091,47,"Customer",1975,1,"Classic"
795,"2018-11-03 11:42:33.3210","2018-11-03 11:55:48.7980",79,"27th Ave SE & University Ave",44.972599144972556,-93.21897804737091,113,"15th Ave SE & Como Ave SE",44.987517,-93.230469,47,"Customer",1969,0,"Classic"
1224,"2018-11-03 14:14:23.4610","2018-11-03 14:34:48.3500",113,"15th Ave SE & Como Ave SE",44.987517,-93.230469,60,"Malcolm Ave SE & 5th Street SE",44.973371428373945,-93.21126401424408,47,"Subscriber",1982,1,"Classic"
