"tripduration","start_time","end_time","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender","bike type"
1373,"2018-04-24 16:03:04.2700","2018-04-24 16:25:57.6010",170,"Boom Island Park",44.99254,-93.270256,2,"100 Main Street SE",44.984892,-93.256551,2,"Customer",1969,0,"Classic"
1730,"2018-04-24 16:38:40.5210","2018-04-24 17:07:31.1070",2,"100 Main Street SE",44.984892,-93.256551,13,"North 2nd Street & 4th Ave N",44.986087,-93.272459,2,"Customer",1969,0,"Classic"
547,"2018-04-24 17:51:10.1450","2018-04-24 18:00:17.4510",13,"North 2nd Street & 4th Ave N",44.986087,-93.272459,94,"Portland Ave & Washington Ave",44.978209822323755,-93.26023042201996,2,"Subscriber",1985,2,"Classic"
856,"2018-04-24 18:50:05.7390","2018-04-24 19:04:22.0360",94,"Portland Ave & Washington Ave",44.978209822323755,-93.26023042201996,13,"North 2nd Street & 4th Ave N",44.986087,-93.272459,2,"Subscriber",1985,2,"Classic"
455,"2018-04-25 08:49:05.2720","2018-04-25 08:56:40.3060",13,"North 2nd Street & 4th Ave N",44.986087,-93.272459,43,"Nicollet Mall & 10th Street",44.973839,-93.274544,2,"Subscriber",1988,1,"Classic"
1557,"2018-04-27 11:57:03.7740","2018-04-27 12:23:01.5750",43,"Nicollet Mall & 10th Street",44.973839,-93.274544,167,"11th Ave S & S 2nd Street",44.97651548218561,-93.25257003307343,2,"Customer",1969,0,"Classic"
2001,"2018-04-27 12:25:28.5990","2018-04-27 12:58:50.2910",167,"11th Ave S & S 2nd Street",44.97651548218561,-93.25257003307343,157,"E 38th Street & 42nd Ave S",44.93419292419226,-93.21263194084167,2,"Customer",1969,0,"Classic"
653,"2018-04-27 13:00:15.3060","2018-04-27 13:11:08.6630",157,"E 38th Street & 42nd Ave S",44.93419292419226,-93.21263194084167,153,"Minnehaha Park",44.916906,-93.213587,2,"Customer",1969,0,"Classic"
2500,"2018-04-27 14:43:42.2170","2018-04-27 15:25:22.8890",153,"Minnehaha Park",44.916906,-93.213587,201,"Hiawatha Ave & E 50th Street",44.91294253601736,-93.21014016866684,2,"Customer",1969,0,"Classic"
1440,"2018-04-28 13:43:24.4210","2018-04-28 14:07:24.6310",201,"Hiawatha Ave & E 50th Street",44.91294253601736,-93.21014016866684,201,"Hiawatha Ave & E 50th Street",44.91294253601736,-93.21014016866684,2,"Customer",1969,0,"Classic"
7843,"2018-04-29 10:56:00.5340","2018-04-29 13:06:44.0740",201,"Hiawatha Ave & E 50th Street",44.91294253601736,-93.21014016866684,180,"Lake Street & Knox Ave S",44.94870255723884,-93.30621153116226,2,"Customer",1969,0,"Classic"
10660,"2018-04-29 13:17:55.8650","2018-04-29 16:15:36.3780",180,"Lake Street & Knox Ave S",44.94870255723884,-93.30621153116226,180,"Lake Street & Knox Ave S",44.94870255723884,-93.30621153116226,2,"Customer",1969,0,"Classic"
2153,"2018-04-29 16:25:07.1190","2018-04-29 17:01:00.4710",180,"Lake Street & Knox Ave S",44.94870255723884,-93.30621153116226,180,"Lake Street & Knox Ave S",44.94870255723884,-93.30621153116226,2,"Customer",1969,0,"Classic"
8410,"2018-04-30 19:01:32.0750","2018-04-30 21:21:42.9260",180,"Lake Street & Knox Ave S",44.94870255723884,-93.30621153116226,180,"Lake Street & Knox Ave S",44.94870255723884,-93.30621153116226,2,"Customer",1969,0,"Classic"
656,"2018-04-21 16:47:32.7650","2018-04-21 16:58:28.8350",160,"Dupont Ave S & W 29th Street",44.949699,-93.293129,180,"Lake Street & Knox Ave S",44.94870255723884,-93.30621153116226,3,"Customer",1969,0,"Classic"
3299,"2018-04-21 17:04:36.5950","2018-04-21 17:59:36.3870",180,"Lake Street & Knox Ave S",44.94870255723884,-93.30621153116226,180,"Lake Street & Knox Ave S",44.94870255723884,-93.30621153116226,3,"Customer",1969,0,"Classic"
884,"2018-04-21 18:47:37.4930","2018-04-21 19:02:21.7710",180,"Lake Street & Knox Ave S",44.94870255723884,-93.30621153116226,158,"W 36th Street & W Calhoun Parkway",44.937817,-93.320212,3,"Customer",1969,0,"Classic"
2798,"2018-04-22 11:40:54.5330","2018-04-22 12:27:33.4810",158,"W 36th Street & W Calhoun Parkway",44.937817,-93.320212,158,"W 36th Street & W Calhoun Parkway",44.937817,-93.320212,3,"Subscriber",1994,1,"Classic"
8819,"2018-04-22 15:02:55.3890","2018-04-22 17:29:55.3570",158,"W 36th Street & W Calhoun Parkway",44.937817,-93.320212,93,"Lake Calhoun Center",44.94846716687744,-93.3172944188118,3,"Customer",1969,0,"Classic"
441,"2018-04-22 19:32:19.0300","2018-04-22 19:39:40.4060",93,"Lake Calhoun Center",44.94846716687744,-93.3172944188118,180,"Lake Street & Knox Ave S",44.94870255723884,-93.30621153116226,3,"Customer",1969,0,"Classic"
1286,"2018-04-23 13:13:07.3560","2018-04-23 13:34:34.0610",180,"Lake Street & Knox Ave S",44.94870255723884,-93.30621153116226,180,"Lake Street & Knox Ave S",44.94870255723884,-93.30621153116226,3,"Customer",1969,0,"Classic"
1600,"2018-04-23 14:56:19.8530","2018-04-23 15:23:00.4700",180,"Lake Street & Knox Ave S",44.94870255723884,-93.30621153116226,180,"Lake Street & Knox Ave S",44.94870255723884,-93.30621153116226,3,"Customer",1969,0,"Classic"
3106,"2018-04-23 15:42:03.7220","2018-04-23 16:33:50.2670",180,"Lake Street & Knox Ave S",44.94870255723884,-93.30621153116226,18,"Walker Art Center",44.967103678290506,-93.28907489776611,3,"Customer",1969,0,"Classic"
2293,"2018-04-25 17:55:47.1670","2018-04-25 18:34:00.2780",188,"Sanford Hall",44.980831,-93.240282,188,"Sanford Hall",44.980831,-93.240282,4,"Customer",1969,0,"Classic"
1432,"2018-04-25 21:10:11.7630","2018-04-25 21:34:04.2070",188,"Sanford Hall",44.980831,-93.240282,188,"Sanford Hall",44.980831,-93.240282,4,"Customer",1969,0,"Classic"
326,"2018-04-25 21:35:29.1730","2018-04-25 21:40:55.3170",188,"Sanford Hall",44.980831,-93.240282,61,"McNamara Center",44.9743,-93.22854,4,"Subscriber",1998,1,"Classic"
329,"2018-04-27 11:08:45.9820","2018-04-27 11:14:15.0530",61,"McNamara Center",44.9743,-93.22854,190,"Weisman Art Museum",44.973428353028844,-93.23731899261473,4,"Subscriber",1986,1,"Classic"
97,"2018-04-27 13:53:10.5040","2018-04-27 13:54:47.9800",190,"Weisman Art Museum",44.973428353028844,-93.23731899261473,209,"Willey Hall",44.972404,-93.242891,4,"Subscriber",1998,1,"Classic"
283,"2018-04-27 14:18:42.9780","2018-04-27 14:23:26.1520",209,"Willey Hall",44.972404,-93.242891,26,"Coffman Union",44.973378,-93.234762,4,"Customer",1970,1,"Classic"
311,"2018-04-27 16:39:19.1240","2018-04-27 16:44:30.2330",26,"Coffman Union",44.973378,-93.234762,38,"4th Street & 17th Ave SE",44.97913,-93.23189,4,"Customer",1967,1,"Classic"
759,"2018-04-27 17:27:27.8020","2018-04-27 17:40:07.5830",38,"4th Street & 17th Ave SE",44.97913,-93.23189,2,"100 Main Street SE",44.984892,-93.256551,4,"Subscriber",1973,2,"Classic"
673,"2018-04-27 19:12:49.6310","2018-04-27 19:24:03.4430",2,"100 Main Street SE",44.984892,-93.256551,170,"Boom Island Park",44.99254,-93.270256,4,"Customer",1969,0,"Classic"
3274,"2018-04-28 14:30:57.2180","2018-04-28 15:25:31.5850",170,"Boom Island Park",44.99254,-93.270256,170,"Boom Island Park",44.99254,-93.270256,4,"Customer",1969,0,"Classic"
927,"2018-04-13 10:22:07.0500","2018-04-13 10:37:34.9450",19,"Lyndale Ave S & 22nd Street ",44.9608172131794,-93.28814283013344,180,"Lake Street & Knox Ave S",44.94870255723884,-93.30621153116226,5,"Customer",1969,0,"Classic"
2054,"2018-04-19 18:09:30.1460","2018-04-19 18:43:44.5970",180,"Lake Street & Knox Ave S",44.94870255723884,-93.30621153116226,180,"Lake Street & Knox Ave S",44.94870255723884,-93.30621153116226,5,"Customer",1969,0,"Classic"
2100,"2018-04-20 14:20:27.3610","2018-04-20 14:55:27.7040",180,"Lake Street & Knox Ave S",44.94870255723884,-93.30621153116226,160,"Dupont Ave S & W 29th Street",44.949699,-93.293129,5,"Customer",1969,0,"Classic"
66640,"2018-04-20 15:11:43.9920","2018-04-21 09:42:24.8610",160,"Dupont Ave S & W 29th Street",44.949699,-93.293129,102,"West 15th Street & Willow",44.968237,-93.281991,5,"Subscriber",1978,1,"Classic"
392,"2018-04-24 13:13:10.7120","2018-04-24 13:19:43.4690",41,"Currie Park",44.969225,-93.251136,209,"Willey Hall",44.972404,-93.242891,5,"Subscriber",1997,1,"Classic"
393,"2018-04-25 09:33:25.6330","2018-04-25 09:39:58.7470",209,"Willey Hall",44.972404,-93.242891,62,"Elliot Hall",44.97685,-93.23818,5,"Subscriber",1958,2,"Classic"
215,"2018-04-25 12:47:57.2590","2018-04-25 12:51:32.6460",62,"Elliot Hall",44.97685,-93.23818,209,"Willey Hall",44.972404,-93.242891,5,"Subscriber",1983,2,"Classic"
118,"2018-04-25 14:18:52.5930","2018-04-25 14:20:51.0480",209,"Willey Hall",44.972404,-93.242891,190,"Weisman Art Museum",44.973428353028844,-93.23731899261473,5,"Subscriber",1998,1,"Classic"
144,"2018-04-25 14:25:21.0180","2018-04-25 14:27:45.9280",190,"Weisman Art Museum",44.973428353028844,-93.23731899261473,27,"Williamson Hall",44.977406,-93.234911,5,"Customer",1969,0,"Classic"
167,"2018-04-25 15:24:15.7830","2018-04-25 15:27:03.7290",27,"Williamson Hall",44.977406,-93.234911,190,"Weisman Art Museum",44.973428353028844,-93.23731899261473,5,"Customer",1969,0,"Classic"
268,"2018-04-25 17:16:52.0050","2018-04-25 17:21:20.9490",190,"Weisman Art Museum",44.973428353028844,-93.23731899261473,17,"Washington & Cedar",44.97344,-93.24748,5,"Subscriber",1989,2,"Classic"
103,"2018-04-25 18:05:53.5850","2018-04-25 18:07:37.4800",17,"Washington & Cedar",44.97344,-93.24748,21,"Social Sciences",44.97063897849033,-93.24355244636536,5,"Subscriber",1989,2,"Classic"
480,"2018-04-25 23:14:35.2650","2018-04-25 23:22:35.5860",21,"Social Sciences",44.97063897849033,-93.24355244636536,21,"Social Sciences",44.97063897849033,-93.24355244636536,5,"Subscriber",1998,2,"Classic"
193,"2018-04-26 07:54:12.7480","2018-04-26 07:57:26.1660",21,"Social Sciences",44.97063897849033,-93.24355244636536,26,"Coffman Union",44.973378,-93.234762,5,"Subscriber",1996,2,"Classic"
