station_id,station_name,station_lat,station_lng
30094,West 32nd Street & Bryant Ave S,44.94478,-93.29038
30095,West 36th Street & Bryant Ave S,44.93775,-93.2912
30096,University Ave. NE & 12th Ave. NE,44.999894,-93.26295999999999
30097,Pleasant Ave S &  Lake Street,44.948555999999996,-93.283163
30098,Marshall Street NE & 8th Ave. NE,44.995348,-93.26685400000001
30099,Kowalski's Market,44.94016,-93.1529
30100,Lake Como Pavilion,44.981914,-93.143383
30101,N Milton Street & Summit Ave,44.941599,-93.138832
30102,Como Park Conservatory,44.98115,-93.1517
30103,Hague Ave & Dale Street,44.945736,-93.12661
30104,Logan Park,44.99882,-93.25276
30105,Lexington Pkwy & University Ave,44.955363,-93.14637900000001
30106,Dale Street & Grand Ave.,44.939778999999994,-93.126261
30107,Dale Street N & University Ave,44.956066,-93.126088
30108,University Ave SE & 29th Ave SE,44.971012,-93.214864
30109,Como Ave. SE & 29th Ave. SE,44.987934,-93.21289200000001
30110,15th Ave. SE & Como Ave. SE,44.987517,-93.230469
30111,St. Paul Police Western District,44.953527,-93.156984
30112,Central Ave. NE & 22nd Ave NE,45.00994,-93.247114
30113,U of M St. Paul Student Center,44.984527,-93.185029
30114,Cleveland Ave N & Laurel Ave,44.945367,-93.1873
30115,Washington Ave SE & Union Street SE,44.97394,-93.2321
30116,Minnesota History Center,44.949053,-93.10673
30117,10th Street E & Cedar Street,44.950189,-93.09759
30118,7th Place & Jackson Street,44.949433,-93.091207
30119,Union Depot,44.948399,-93.086584
30120,Kellogg Blvd E & Jackson Street,44.946191,-93.088802
30121,7th Street E & Wacouta Street,44.950765999999994,-93.08924499999999
30122,Broadway Street N & 4th Street E,44.94965,-93.0845
30123,Minnesota Dept. of Transportation,44.95385,-93.10445
30124,Kellogg Blvd W & Smith Ave,44.945173,-93.103863
30125,Lafayette Road & Grove Street,44.956028,-93.08465
30126,5th Street E & Minnesota Street N,44.94683,-93.09231
30127,Landmark Plaza,44.945267,-93.096114
30128,Wells Fargo Place,44.94813,-93.09663
30129,State Street & Cesar Chavez Street,44.93002,-93.0779
30130,Wabasha Street S & E Fillmore Ave,44.939046999999995,-93.089031
30131,Harriet Island,44.93768,-93.094532
30132,Kellogg Blvd & Wabasha Street,44.943846,-93.09227
30133,Wabasha Street S & Cesar Chavez Street,44.934503,-93.084497
30134,Upper Landing,44.940902,-93.098712
30135,7th Street W & Grand Ave,44.94144,-93.10624
30136,Science Museum of Minnesota,44.942846,-93.097836
30137,Selby Ave & Virginia Street,44.9467,-93.1151
30138,University Ave & Western Ave,44.95562,-93.11665
30139,E 14th Street & N Robert Street ,44.954696999999996,-93.097817
30140,N Marion Street & University Ave W,44.95476,-93.10955
30141,N Robert Street & E 10th Street,44.951132,-93.094545
30142,9th Street N & Hawthorne Ave,44.977128,-93.277505
30143,Chicago Ave & Washington Ave S,44.977521,-93.256736
30144,N 4th Ave & W River Parkway,44.988461,-93.269087
30145,Minneapolis Park & Recreation Board,45.00095,-93.27703699999999
30146,Webber Park,45.033069,-93.29065
30147,Lake Street & West River Parkway,44.948452,-93.20620100000001
30148,46th Street Light Rail Station,44.920466,-93.21953
30149,Minnehaha Park,44.916906,-93.213587
30150,Fort Snelling Visitor Center,44.894044,-93.187381
30151,Boom Island Park,44.992540000000005,-93.270256
30152,Broadway & Marshall Street NE,44.998613,-93.268633
30153,Coldwater Spring,44.905043,-93.19828299999999
30154,11th Ave S & S 2nd Street,44.976729999999996,-93.252189
30155,University of St. Thomas,44.943017,-93.19183699999999
30156,Lake Nokomis,44.915957,-93.242761
30157,Lake Harriet Bandshell,44.929359999999996,-93.30713
30158,Lake Street & Knox Ave S,44.9485,-93.30520899999999
30159,Fort Snelling State Park,44.890527,-93.18236999999999
30160,Dupont Ave S & W 29th Street,44.949699,-93.29312900000001
30161,27th Ave S & Minnehaha Ave,44.947328999999996,-93.233092
30162,Mississippi River Blvd & Summit Ave,44.940288,-93.197997
30163,38th Street Light Rail Station,44.93434,-93.229338
30164,Cleveland Ave S & Highland Parkway,44.919593,-93.187264
30165,Upton Ave S & Sheridan Ave S,44.92515,-93.31459699999999
30166,W 36th Street & W Calhoun Parkway,44.937816999999995,-93.320212
30167,E 38th Street & 42nd Ave S,44.9342,-93.2125
30168,Marshall Street NE & Lowry Ave,45.01312,-93.27166
30169,Marshall Street NE & 18th Ave NE,45.006229,-93.271571
30170,Nicollet Island,44.985388,-93.26145
30171,SE 3rd Ave & University Ave SE,44.985465000000005,-93.25210200000001
30172,2nd Street SE & 5th Ave SE,44.983321000000004,-93.24965300000001
30173,22nd Ave NE & California Street NE,45.010119,-93.268598
30174,Fort Snelling LRT Station,44.892483,-93.19782
30175,18th Ave Trail & 2nd Street NE,45.006321,-93.266553
30176,Washington Ave N & Cedar Lake Trail,44.985406,-93.27403100000001
30177,3rd Street NE & Lowry Ave NE,45.013040000000004,-93.264573
30178,5th Street NE & 1st Ave NE,44.990328000000005,-93.254295
30179,1st Ave N & 2nd Street N,44.983902,-93.26860400000001
30180,3rd Street N & 8th Ave N,44.987996,-93.279854
30181,5th Ave N & 4th Street N,44.98446,-93.27723399999999
30182,Sanford Hall,44.980831,-93.240282
30183,Weisman Art Museum,44.973607,-93.23725400000001
30184,Hennepin Ave & S Washington Ave,44.981895,-93.269195
30185,5th Street NE & 3rd Ave NE,44.991821,-93.255558
30186,5th Street & Nicollet Mall,44.9786652,-93.27050329999999
30187,Groveland Ave & Clifton Place,44.966145000000004,-93.286294
30188,8th Street & 2nd Ave S,44.974795,-93.270649
30189,Delaware St SE & 26th Ave SE,44.972128000000005,-93.221021
